N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
23,LG,"93,900",700,-0.74%,"5,000","162,031","172,557",35.00,"483,064",13.27,5.87,
24,삼성에스디에스,"195,500","8,000",-3.93%,500,"151,274","77,378",11.98,"265,920",28.86,11.76,
25,삼성생명,"74,400","3,000",-3.88%,500,"148,800","200,000",12.40,"748,333",14.94,3.26,
26,한국전력,"23,150",500,-2.11%,"5,000","148,615","641,964",16.78,"2,954,625",160.76,-3.42,
27,삼성전기,"188,500","6,500",-3.33%,"5,000","140,798","74,694",34.88,"579,528",38.62,10.18,
28,아모레퍼시픽,"232,000","9,500",-3.93%,500,"135,624","58,458",32.51,"257,857",372.99,5.36,
29,포스코케미칼,"158,000","12,000",-7.06%,500,"122,392","77,463",7.37,"1,116,251",355.06,11.57,
30,하나금융지주,"36,950",350,+0.96%,"5,000","110,939","300,242",67.19,"1,925,453",4.52,8.77,
31,KT&G,"78,700",300,-0.38%,"5,000","108,049","137,292",39.73,"467,443",10.99,12.32,
32,넷마블,"123,500","2,000",-1.59%,100,"106,070","85,886",23.78,"289,028",50.02,3.54,
33,롯데케미칼,"302,500","23,500",-7.21%,"5,000","103,683","34,275",27.21,"489,860",89.42,5.51,
34,SK바이오팜,"122,000","25,500",-17.29%,500,"95,542","78,313",4.73,"3,797,339",-110.91,-313.66,
35,S-Oil,"83,700","6,500",-7.21%,"2,500","94,232","112,583",76.57,"1,126,882",-11.22,1.01,
36,한온시스템,"15,700",700,-4.27%,100,"83,807","533,800",19.77,"1,846,418",59.70,14.98,
37,LG디스플레이,"23,400","1,350",-5.45%,"5,000","83,729","357,816",23.97,"3,890,515",-3.41,-22.35,
38,삼성화재,"173,500","4,000",-2.25%,500,"82,195","47,375",44.01,"270,023",12.69,4.85,
39,고려아연,"415,500","17,500",-4.04%,"5,000","78,405","18,870",23.03,"78,935",14.00,9.76,
40,한국조선해양,"109,000","3,000",-2.68%,"5,000","77,143","70,773",16.57,"525,798",360.93,1.40,
41,빅히트,"211,000","17,500",-7.66%,500,"75,166","35,624",9.24,"567,825",N/A,56.47,
42,현대글로비스,"193,000","12,500",-6.08%,500,"72,375","37,500",33.79,"573,008",10.85,11.25,
43,한화솔루션,"45,200","1,750",-3.73%,"5,000","72,259","159,864",18.31,"1,706,744",-83.55,-4.02,
44,우리금융지주,"9,660",60,+0.63%,"5,000","69,771","722,268",25.03,"2,453,056",5.18,N/A,
45,KT,"25,800",500,-1.90%,"5,000","67,367","261,112",42.95,"1,928,082",10.99,4.61,
46,금호석유,"210,500","21,000",-9.07%,"5,000","64,134","30,468",27.67,"924,144",18.01,11.84,
47,기업은행,"8,420",40,-0.47%,"5,000","62,196","738,664",10.55,"1,897,831",4.30,7.36,
48,미래에셋대우,"9,530",200,-2.06%,"5,000","61,499","645,316",14.81,"2,431,735",9.96,7.56,
49,CJ제일제당,"408,500","17,500",-4.11%,"5,000","61,496","15,054",24.58,"120,983",8.48,3.16,
50,한국타이어앤테크놀로지,"48,300","2,800",-5.48%,500,"59,832","123,875",41.36,"514,718",23.24,6.03,
51,HMM,"17,000",0,0.00%,"5,000","55,762","328,011",7.70,"12,398,848",-54.84,-55.46,
52,현대제철,"39,850","1,650",-3.98%,"5,000","53,178","133,446",19.19,"1,218,221",-21.59,0.10,
53,강원랜드,"24,600",700,-2.77%,500,"52,629","213,940",22.08,"2,148,549",-27.70,9.16,
54,LG유플러스,"12,050",150,-1.23%,"5,000","52,612","436,611",29.55,"3,663,471",6.64,6.30,
55,아모레G,"63,500","2,300",-3.50%,500,"52,361","82,458",20.14,"214,960",224.38,4.12,
56,한국금융지주,"91,500","1,700",-1.82%,"5,000","50,989","55,726",31.51,"558,459",8.37,18.14,
57,KODEX 200,"41,385",900,-2.13%,0,"50,448","121,900",8.93,"9,324,967",N/A,N/A,
58,오리온,"127,500","6,000",-4.49%,500,"50,409","39,536",42.41,"155,805",18.41,14.24,
59,대한항공,"28,450",100,-0.35%,"5,000","49,563","174,210",11.33,"2,838,065",-8.37,-22.09,
60,코웨이,"66,600",600,-0.89%,500,"49,151","73,800",60.40,"265,291",13.76,30.74,
61,LG이노텍,"204,000","16,500",-7.48%,"5,000","48,281","23,667",30.93,"479,401",36.98,4.73,
62,이마트,"172,000","5,000",-2.82%,"5,000","47,946","27,876",31.38,"315,774",8.58,2.76,
63,SKC,"120,500","6,500",-5.12%,"5,000","45,631","37,868",8.83,"702,727",53.48,3.86,
64,SK케미칼,"385,000","18,500",+5.05%,"5,000","45,204","11,741",21.82,"397,330",17.57,1.51,
65,현대건설,"40,450","1,400",-3.35%,"5,000","45,043","111,356",18.97,"667,931",19.72,6.30,
66,유한양행,"61,600",900,-1.44%,"1,000","43,103","69,973",19.66,"339,492",23.73,2.43,
67,현대중공업지주,"271,500","8,000",-2.86%,"5,000","42,893","15,799",17.52,"87,840",-82.25,2.20,
68,녹십자,"366,000","7,000",-1.88%,"5,000","42,773","11,687",19.46,"210,085",98.18,-0.35,
69,한미사이언스,"62,900","1,400",-2.18%,500,"42,335","67,305",1.69,"222,763",285.91,4.73,
70,신풍제약,"79,100","3,600",-4.35%,500,"41,911","52,985",10.98,"1,184,957",775.49,2.57,
71,맥쿼리인프라,"11,100",50,-0.45%,0,"41,313","372,192",14.60,"1,056,132",N/A,N/A,
72,삼성중공업,"6,510",240,-3.56%,"5,000","41,013","630,000",15.31,"5,328,898",-3.28,-21.88,
73,한미약품,"336,000",0,0.00%,"2,500","40,583","12,078",13.40,"102,997","-3,262.14",7.30,
74,동서,"40,500","1,450",-3.46%,500,"40,378","99,700",4.27,"225,288",29.20,10.53,
75,한진칼,"59,900","1,700",+2.92%,"2,500","39,691","66,263",15.40,"256,548",-9.88,-17.56,
76,두산중공업,"10,250",750,-6.82%,"5,000","38,400","374,637",10.64,"4,036,404",-2.21,-14.73,
77,현대차2우B,"103,500","5,000",-4.61%,"5,000","37,762","36,485",61.23,"157,779",24.73,N/A,
78,CJ대한통운,"165,500","5,000",-2.93%,"5,000","37,754","22,812",21.44,"76,418",29.84,1.41,
79,GS,"39,500","1,800",-4.36%,"5,000","36,702","92,915",18.90,"697,795",-42.84,6.26,
80,삼성카드,"31,300",300,-0.95%,"5,000","36,264","115,859",10.80,"158,065",8.80,5.04,
81,롯데지주,"33,350",650,-1.91%,200,"34,987","104,909",11.24,"152,811",-4.88,-5.21,
82,쌍용양회,"6,770",130,-1.88%,100,"34,111","503,860",2.86,"1,778,609",27.19,7.02,
83,두산퓨얼셀,"52,000","4,000",-7.14%,100,"34,057","65,494",19.95,"1,351,826",152.49,N/A,
84,키움증권,"131,500","3,500",-2.59%,"5,000","34,056","25,898",22.93,"166,102",5.80,16.97,
85,롯데쇼핑,"119,000","5,500",-4.42%,"5,000","33,664","28,289",12.01,"276,693",-2.51,-8.14,
86,한국항공우주,"34,300","2,000",-5.51%,"5,000","33,434","97,475",14.03,"1,761,850",25.26,15.84,
87,일진머티리얼즈,"72,500","4,100",-5.35%,500,"33,430","46,111",8.36,"668,763",75.21,8.52,
88,두산밥캣,"33,300","1,650",-4.72%,500,"33,383","100,249",23.07,"334,556",18.02,7.05,
89,삼성증권,"37,350",600,-1.58%,"5,000","33,354","89,300",26.28,"394,962",7.09,8.15,
